"ID";"CommonName";"SeriesAmount";"global_id";"FilmType";"FrameFormat";"Filmino";"Duration";"Year";"ProducingCountry";"FilmStudio";"IsColor";"AgeRestrictions";"CopyQuality";"DigitalVersion";
"Код";"Название";"Количество серий";"global_id";"Тип фильма";"Формат кадра";"Сведения о фильме";"Длительность";"Год выпуска";"Страна";"Студия";"Цветность";"Возрастные ограничения";"Категория качества копии";"Наличие электронной версии копии";
"1641";"Неподсуден";"1";"170862403";"художественный";"широкоэкранный";"драма";"nested data";"1969";"nested data";"nested data";"чёрно-белый";"14+";"2, 3";"нет";
"1647";"Ни шагу назад";"1";"170862404";"художественный";"широкоэкранный";"военная драма";"nested data";"2007";"nested data";"nested data";"цветной";"14+";"1";"нет";
"1659";"Они сражались за Родину 2 серии";"2";"170862407";"художественный";"широкоэкранный";"военная драма";"nested data";"1975";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1670";"Осенние свадьбы";"1";"170862408";"художественный";"широкоэкранный";"драма";"nested data";"1967";"nested data";"nested data";"чёрно-белый";"14+";"2";"нет";
"1685";"Отцы";"1";"170862410";"художественный";"широкоэкранный";"драма";"nested data";"1988";"nested data";"nested data";"цветной";"14+";"1, 2";"нет";
"1689";"Парад планет";"1";"170862411";"художественный";"широкоэкранный";"драма";"nested data";"1984";"nested data";"nested data";"цветной";"14+";"1, 2, 3";"нет";
"1690";"Парк Советского периода";"1";"170862412";"художественный";"широкоэкранный";"комедия";"nested data";"2006";"nested data";"nested data";"цветной";"14+";"1";"нет";
"1692";"Пассажирка";"1";"170862413";"художественный";"широкоэкранный";"мелодрама";"nested data";"2008";"nested data";"nested data";"цветной";"14+";"1";"да";
"1712";"Повесть о человеческом сердце 2 серии";"2";"170862416";"художественный";"широкоэкранный";"мелодрама";"nested data";"1975";"nested data";"nested data";"цветной";"14+";"2";"нет";
"1726";"Полное дыхание";"1";"170862419";"художественный";"широкоэкранный";"мелодрама";"nested data";"2006";"nested data";"nested data";"цветной";"14+";"1";"да";
"1727";"Полынь – трава горькая";"1";"170862420";"художественный";"широкоэкранный";"драма";"nested data";"1982";"nested data";"nested data";"цветной";"14+";"2";"нет";
"1731";"Портрет с дождем";"1";"170862421";"художественный";"широкоэкранный";"мелодрама";"nested data";"1977";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1735";"Последнее дело Вареного";"1";"170862423";"художественный";"широкоэкранный";"криминальная комедия";"nested data";"1994";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1744";"Пошехонская старина (Фрагменты из романа)";"1";"170862424";"художественный";"широкоэкранный";"экранизация";"nested data";"1975";"nested data";"nested data";"цветной";"14+";"1, 2";"нет";
"1754";"Прежде, чем расстаться";"1";"170862426";"художественный";"широкоэкранный";"мелодрама";"nested data";"1984";"nested data";"nested data";"цветной";"14+";"1";"нет";
"1756";"Приговоренный";"1";"170862427";"художественный";"широкоэкранный";"криминальная драма";"nested data";"1989";"nested data";"nested data";"цветной";"14+";"1";"нет";
"1758";"Призрак";"1";"170862428";"художественный";"широкоэкранный";"боевик";"nested data";"1991";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1771";"Процесс о трех миллионах";"1";"170862432";"художественный";"широкоэкранный";"комедия";"nested data";"1926";"nested data";"nested data";"чёрно-белый";"14+";"1";"нет";
"1772";"Прощай, шпана замоскворецкая";"1";"170862433";"художественный";"широкоэкранный";"мелодрама";"nested data";"1988";"nested data";"nested data";"цветной";"14+";"1, 2, 3";"нет";
"1792";"Родины солдат";"1";"170862436";"художественный";"широкоэкранный";"военная драма";"nested data";"1975";"nested data";"nested data";"чёрно-белый";"14+";"2";"нет";
"1799";"Русский бунт";"1";"170862438";"художественный";"широкоэкранный";"экранизация";"nested data";"2000";"nested data";"nested data";"цветной";"14+";"3";"нет";
"1805";"Сад желаний";"1";"170862440";"художественный";"широкоэкранный";"драма";"nested data";"1988";"nested data";"nested data";"цветной";"14+";"2";"нет";
"1818";"Сдается квартира с ребенком";"1";"170862441";"художественный";"широкоэкранный";"комедия";"nested data";"1978";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1989";"Ягуар";"1";"170862442";"художественный";"широкоэкранный";"драма";"nested data";"1986";"nested data";"nested data";"цветной";"14+";"2";"нет";
"1990";"Я его невеста";"1";"170862443";"художественный";"широкоэкранный";"драма";"nested data";"1969";"nested data";"nested data";"чёрно-белый";"14+";"2";"нет";
"1992";"Яр";"1";"170862445";"художественный";"широкоэкранный";"";"nested data";"2006";"nested data";"nested data";"цветной";"14+";"1";"нет";
