name,track_len,link,genre,artist(s),chart,Explicit_content,monthly_listens_total,artists_likes_total
I Got Love,4:36,https://music.yandex.ru//album/20559909/track/35505245,русский рэп,"['Miyagi & Эндшпиль', 'Рем Дигга']",49,1,6008773,8379202
With You,2:35,https://music.yandex.ru//album/26883820/track/116216960,электроника,['FEARSTbeats'],50,0,1492080,8034
НУЖНА ПЕРЕЗАГРУЗКА,2:57,https://music.yandex.ru//album/27364338/track/117341624,русская поп-музыка,['GAYAZOV$ BROTHER$'],51,0,3582027,2977581
МАЛИНОВАЯ ЛАДА,3:33,https://music.yandex.ru//album/18809983/track/93390818,русская поп-музыка,['GAYAZOV$ BROTHER$'],52,0,3582027,2977581
Heaven and Hell,3:38,https://music.yandex.ru//album/5322654/track/40841079,поп,['C.C. Catch'],53,0,1116009,206422
Седьмой лепесток,3:19,https://music.yandex.ru//album/19764217/track/96477413,русская поп-музыка,['Антон Токарев'],54,0,1429989,23578
АФТЕРПАТИ,3:18,https://music.yandex.ru//album/27197084/track/116965007,русский рэп,"['uniqe', 'nkeeei', 'ARTEM SHILOVETS', 'xxxmanera']",55,1,4283849,157483
Монро,2:38,https://music.yandex.ru//album/23394439/track/106985401,русская поп-музыка,['Slavik Pogosov'],56,0,2048272,116129
Танец злобного гения,3:56,https://music.yandex.ru//album/124660/track/3853787,панк,['Король и Шут'],57,0,4805309,4044366
Заново завоевать,1:52,https://music.yandex.ru//album/25639874/track/113294491,русский рэп,['Pepel Nahudi'],58,1,1142585,17471
Minor,2:55,https://music.yandex.ru//album/11322908/track/68348389,русский рэп,['Miyagi & Andy Panda'],59,0,3278700,4865784
ХАЙЕГОХО,1:36,https://music.yandex.ru//album/26529556/track/115335620,русский рэп,['Toxi$'],60,0,1335084,100710
TURN UP,2:02,https://music.yandex.ru//album/26724579/track/115808080,русский рэп,"['Молодой Платон', 'Toxi$']",61,1,2564010,119531
еще хуже,3:17,https://music.yandex.ru//album/26305205/track/114837104,русская поп-музыка,['By Индия'],62,0,3268298,139151
1.Kla$,2:01,https://music.yandex.ru//album/27217546/track/117015147,русский рэп,['Oxxxymiron'],63,1,3246688,4180903
Мурашками,3:19,https://music.yandex.ru//album/24993584/track/111669627,русская поп-музыка,['MOT'],64,0,5760991,3958109
Пополам,2:21,https://music.yandex.ru//album/16230309/track/85192958,русский рэп,"['BRANYA', 'MACAN']",65,0,6739868,2381675
Зеркало,2:32,https://music.yandex.ru//album/25808674/track/113680839,русский рэп,['kizaru'],66,1,2403784,2241175
CRANKI,1:50,https://music.yandex.ru//album/22847810/track/105473189,русский рэп,['Toxi$'],67,0,1335084,100710
Ножевой,1:50,https://music.yandex.ru//album/24654032/track/110761858,русский рэп,['A.V.G'],68,0,4406023,287297
Холод,2:03,https://music.yandex.ru//album/27087120/track/116676573,русский рэп,['shadowraze'],69,0,1165897,242588
В лифте,2:12,https://music.yandex.ru//album/25813377/track/113690749,русский рэп,['WHITE GALLOWS'],70,0,2918448,86881
Сказка,2:16,https://music.yandex.ru//album/27417290/track/4607419,русская поп-музыка,"['Steel Deluxe', 'Катя Самбука']",71,1,493120,4946
Эта любовь,2:23,https://music.yandex.ru//album/23018502/track/105944312,русская поп-музыка,['Amirchik'],72,0,2959716,102269
All Eyes on Me,2:45,https://music.yandex.ru//album/24402993/track/110081927,электроника,['Dj Belite'],73,1,1700890,54824
F*CK OFF,1:43,https://music.yandex.ru//album/27243537/track/117073623,русский рэп,['NEWLIGHTCHILD'],74,1,356631,10323
